Ticker,Date,Revenue,OperatingProfit,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,OperatingCashFlow,CapEx,GrossMargin,OperatingMargin,NetMargin,ROE_TTM,ROA_TTM,CurrentRatio,DebtToEquity,MarketCap,RevenueGrowthQoQ,RevenueGrowthYoY,EPSGrowthYoY,NetIncomeGrowthYoY,StockReturnQoQ,LogAssets,FreeCashFlow
AMD,31/12/2022,5599,-102,1118,21,,,0.01,567,124,32.18,-1.82,0.38,4.24,3.3,,,104512.93,0.610961366,16.017405719021973,-98.75,-97.84394251,-4.736446562,,443
AMD,01/04/2023,5353,-44,962,-139,67634,54694,-0.09,486,158,34.39,-0.82,-2.6,0.72,0.59,2.38,4.51,157737.92,-4.393641722,-9.070834041,-116.0714286,-117.6844784,50.92670352,11.121866094169665,328
AMD,01/07/2023,5359,6,855,27,67967,55136,0.02,379,125,36.61,0.11,0.5,-0.05,-0.04,2.18,4.47,183436.32,0.11208668036615244,-18.18320611,-92.59259259,-93.95973154,16.291833948361933,11.126777572247295,254
AMD,30/09/2023,5800,253,1076,299,67626,54970,0.18,421,124,39.6,4.36,5.16,0.38,0.31,2.19,4.49,166123.33,8.229147229,4.222821203953275,350,353.030303,-9.438147255,11.121747803470134,297
AMD,30/12/2023,6168,410,1209,667,67885,55892,0.41,381,139,40.39,6.65,10.81,1.54,1.26,2.51,4.42,238140.69,6.3448275862068915,10.162529023039824,4000,3076.190476190476,43.35174355101119,11.125570376034382,242
AMD,30/03/2024,5473,127,911,123,67895,56198,0.08,521,142,39.61,2.32,2.25,2.01,1.65,2.64,4.39,291697.11,-11.26783398,2.2417336073230043,-188.8888889,-188.4892086,22.489403217904492,11.125717673132895,379
AMD,29/06/2024,5835,259,1028,265,67886,56538,0.16,593,154,42.71,4.44,4.54,2.42,1.99,2.82,3.04,262182.27,6.6142883245021045,8.882254152,700,881.4814814814815,-10.11831759,11.12558510672061,439
AMD,28/09/2024,6819,710,1466,771,69636,56985,0.47,628,132,44.98,10.41,11.31,3.26,2.66,2.5,3.02,265997.49,16.863753213367616,17.568965517241388,161.11111111111111,157.85953177257522,1.4551784909025312,11.15103695397861,496
AMD,28/12/2024,7658,1297,2052,482,69226,57568,0.29,1299,208,46.36,16.94,6.29,2.89,2.39,2.62,2.99,203159.25,12.303856870508877,24.156939040207526,-29.26829268,-27.73613193,-23.62362141,11.145131793583074,1091
AMD,29/03/2025,7438,806,1548,709,71550,57881,0.44,939,212,45.98,10.84,9.53,3.9,3.19,2.8,7.19,166834.23,-2.872812745,35.903526402338755,450,476.4227642276423,-17.88007191,11.178151784984596,727
AMD,28/06/2025,7685,-134,623,768,74820,59665,0.47,1462,282,35.8,-1.74,9.99,4.7,3.83,2.49,5.39,233174.14,3.3207851573003433,31.705227077977717,193.74999999999994,189.81132075471697,39.76396810174987,11.222840507902138,1180
